경도,위도,설치기관명,설치위치
127.056978,37.58187161,해성여자고등학교,신관 1층 입구
127.0895245,37.56387296,대원국제중학교,1층 복도 계단 옆
126.9140332,37.55080214,메세나폴리스아파트,메세나폴리스아파트 101동 B1층
126.9010743,37.4446823,시흥유통상가,상가사무실
126.9420541,37.54235433,래미안마포리버웰,래미안마포리버웰 106동 지하1층 생활지원센터 입구
126.9555151,37.55419704,마포래미안푸르지오아파트,서울특별시 마포구 마포대로 195 마포래미안푸르지오 (아현동)
126.9524396,37.55432649,마포래미안푸르지오아파트,서울특별시 마포구 마포대로 195 마포래미안푸르지오 (아현동)
126.9229631,37.50461575,서울동작구육아종합지원센터,3F 로비
127.1042083,37.51354909,롯데월드타워시그니엘레지던스,42층 컨시어시데스크
126.9906718,37.57727911,서울돈화문국악당,지하2층 로비
126.9190817,37.64265995,은빛초등학교,1층 건강나눔터 앞 복도
127.1733753,37.55470658,강동구청(푸른도시과),고덕천 물놀이장(상일동 491번지)
126.9528307,37.55335582,마포래미안푸르지오아파트,서울특별시 마포구 마포대로 195 마포래미안푸르지오아파트 (아현동)
127.07334,37.53607752,자양고등학교,자양고등학교 체육관 1층 입구
126.9090378,37.47923709,신림푸르지오아파트,101동 1층
127.0005382,37.48146696,서초신동아아파트,2동앞
126.903716,37.51723371,이마트영등포점,B1층 고객센터
126.997781,37.58343865,종로구보건소,건강측정실(종로구보건소 명륜건강증진센터)
127.0742838,37.5750721,래미안장안2차아파트(분양),관리실
127.0742838,37.5750721,래미안장안2차아파트(분양),1초소
127.0144387,37.59098811,성북소방서,돈암119안전센터 1층 현관
127.0187934,37.61583203,삼각산아이원아파트,104동 1-2라인
126.9304271,37.5099255,대방주공1차아파트,관리동 1층 로비
126.9172651,37.52741089,여의도글래드호텔,1층 로비
126.9514343,37.54271446,(주)대림코퍼레이션글래드마포,(주)대림코퍼레이션 글래드 마포
126.841367,37.50000771,오류동부골든아파트(분양),관리사무소 입구
126.8675643,37.52234163,목동8단지,관리사무소 옆
127.0024112,37.50393446,센트럴시티,지하1층 메가박스 복도
126.969367,37.55361895,공항철도서울역,지하3층 대합실 앞
126.9332681,37.61167849,북한산현대홈타운,정문 경비초소
127.0024112,37.50393446,센트럴시티,지하4층 호텔감시반 앞 공용부
127.022903,37.51504345,논현신동아아파트,관리사무실 앞 복도
127.0106018,37.6176398,SK북한산시티(임대),제2관리사무소 앞
127.047397,37.49822341,역삼푸르지오아파트,관리사무소 내
127.0216907,37.4848852,서초1동반딧불센터,2층 반딧불센터
